Name,Gender,Calm,Happy,Pride,Love,Surprise,Fear,Anger,Pensiveness,Disgust
Person1,Female,50,71,72,53,31,26,43,66,74
Person1,Female,54,73,70,49,28,27,47,69,73
Person1,Female,58,74,67,45,26,29,51,71,72
Person1,Female,62,74,64,41,25,32,55,73,69
Person1,Female,65,74,61,37,25,35,59,74,66
Person1,Female,68,74,57,33,25,39,63,74,63
Person1,Female,71,72,53,30,26,43,66,74,59
Person1,Female,73,70,48,28,27,47,69,73,55
Person1,Female,74,67,44,26,30,51,71,71,51
Person1,Female,74,64,40,25,32,55,73,69,47
Person1,Female,74,60,36,25,36,60,74,66,43
Person1,Female,73,56,33,25,39,63,74,63,39
Person1,Female,72,52,30,26,43,67,74,59,35
Person1,Female,70,48,28,27,48,69,73,55,32
Person1,Female,67,44,26,30,52,72,71,51,29
Person1,Female,64,40,25,33,56,73,69,47,27
Person1,Female,60,36,25,36,60,74,66,42,25
Person1,Female,56,33,25,40,64,74,62,38,25
Person1,Female,52,30,26,44,67,74,59,35,25
Person1,Female,48,27,28,48,70,73,55,32,25
Person1,Female,43,26,30,52,72,71,50,29,26
Person1,Female,39,25,33,56,73,69,46,27,28
Person1,Female,36,25,36,60,74,66,42,25,31
Person1,Female,32,25,40,64,74,62,38,25,34
Person1,Female,30,26,44,67,74,58,35,25,38
Person1,Female,27,28,48,70,73,54,31,25,41
Person1,Female,26,30,53,72,71,50,29,27,46
Person1,Female,25,33,57,74,68,46,27,29,50
Person1,Female,25,37,61,74,65,42,25,31,54
Person1,Female,25,41,64,74,62,38,25,34,58
Person1,Female,26,45,67,74,58,34,25,38,62
Person1,Female,28,49,70,73,54,31,25,42,65
Person1,Female,31,53,72,71,50,28,27,46,68
Person1,Female,34,57,74,68,45,26,29,50,71
Person1,Female,37,61,74,65,41,25,32,54,73
Person1,Female,41,65,74,61,37,25,35,58,74
Person1,Female,45,68,74,57,34,25,38,62,74
Person1,Female,49,70,72,53,31,25,42,66,74
Person1,Female,53,72,70,49,28,27,46,69,73
Person1,Female,58,74,68,45,26,29,51,71,72
Person1,Female,61,74,65,41,25,32,55,73,70
Person1,Female,65,74,61,37,25,35,59,74,67
Person1,Female,68,74,57,34,25,39,63,74,63
Person1,Female,71,72,53,30,26,43,66,74,60
Person1,Female,73,70,49,28,27,47,69,73,56
Person1,Female,74,67,44,26,29,51,71,72,52
Person1,Female,74,64,40,25,32,55,73,69,47
Person1,Female,74,61,37,25,35,59,74,66,43
Person1,Female,74,57,33,25,39,63,74,63,39
Person1,Female,72,52,30,26,43,66,74,59,35
Person1,Female,70,48,28,27,47,69,73,55,32
Person1,Female,67,44,26,30,51,72,71,51,29
Person1,Female,64,40,25,32,56,73,69,47,27
Person1,Female,60,36,25,36,60,74,66,43,26
Person1,Female,56,33,25,39,63,74,63,39,25
Person1,Female,52,30,26,43,67,74,59,35,25
Person1,Female,48,28,28,48,69,73,55,32,25
Person1,Female,44,26,30,52,72,71,51,29,26
Person1,Female,40,25,33,56,73,69,46,27,28
Person1,Female,36,25,36,60,74,66,42,25,31
