Name,Gender,Calm,Happy,Pride,Love,Surprise,Fear,Anger,Pensiveness,Disgust
Person1,Female,50,65,10,50,40,45,20,50,50
Person1,Female,51,64,11,52,44,45,24,49,52
Person1,Female,53,64,12,55,42,45,28,49,54
Person1,Female,55,63,14,58,40,45,31,49,56
Person1,Female,56,61,15,61,38,45,35,49,57
Person1,Female,58,59,16,63,42,46,38,49,59
Person1,Female,59,57,18,66,38,46,41,49,61
Person1,Female,61,55,19,68,47,47,44,48,63
Person1,Female,62,53,20,70,49,48,46,48,64
Person1,Female,63,50,22,71,37,49,48,48,65
Person1,Female,64,48,23,73,45,50,49,47,67
Person1,Female,66,45,24,74,40,51,49,47,67
Person1,Female,67,43,26,74,41,52,49,46,68
Person1,Female,67,41,27,74,48,53,49,46,69
Person1,Female,68,39,28,74,31,54,48,45,69
Person1,Female,69,37,30,74,31,55,46,45,69
Person1,Female,69,36,31,73,30,56,44,44,69
Person1,Female,69,35,33,72,46,58,42,44,69
Person1,Female,69,35,34,71,45,59,39,43,69
Person1,Female,69,35,35,69,47,60,36,42,68
Person1,Female,69,35,37,67,49,61,32,42,67
Person1,Female,69,36,38,65,45,63,28,41,66
Person1,Female,69,37,39,62,39,64,24,40,65
Person1,Female,68,39,41,60,45,65,20,40,64
Person1,Female,67,40,42,57,32,66,16,39,62
Person1,Female,67,43,43,54,42,67,12,38,61
Person1,Female,66,45,45,51,32,68,8,38,59
Person1,Female,65,47,46,48,48,69,5,37,57
Person1,Female,63,50,47,45,40,70,1,36,55
Person1,Female,62,53,49,42,38,71,0,36,53
Person1,Female,61,55,50,39,35,72,0,35,51
Person1,Female,59,57,52,37,45,73,0,34,49
Person1,Female,58,59,53,34,39,73,0,34,47
Person1,Female,56,61,54,32,41,74,0,33,45
Person1,Female,55,63,56,30,30,74,0,33,43
Person1,Female,53,64,57,28,42,74,0,32,41
Person1,Female,51,64,58,27,42,74,0,32,40
Person1,Female,50,64,60,26,42,74,0,31,38
Person1,Female,48,64,61,25,48,74,0,31,36
Person1,Female,46,64,62,25,43,74,0,31,35
Person1,Female,45,63,64,25,37,74,0,30,34
Person1,Female,43,61,65,25,38,74,0,30,32
Person1,Female,41,60,66,25,43,73,3,30,31
Person1,Female,40,58,68,26,31,73,6,30,31
Person1,Female,38,55,69,28,43,72,10,30,30
Person1,Female,37,53,71,29,43,71,14,30,30
Person1,Female,36,50,72,31,34,70,18,30,30
Person1,Female,35,48,73,33,32,69,22,30,30
Person1,Female,34,45,75,36,36,69,26,30,30
Person1,Female,33,43,76,38,37,67,30,30,30
Person1,Female,32,41,77,41,41,66,34,30,31
Person1,Female,31,39,79,44,38,65,37,30,32
Person1,Female,30,37,80,47,49,64,40,30,33
Person1,Female,30,36,81,50,32,63,43,31,34
Person1,Female,30,35,83,53,34,62,45,31,35
Person1,Female,30,35,84,55,33,60,47,31,37
Person1,Female,30,35,85,58,43,59,48,32,38
Person1,Female,30,35,87,61,35,58,49,32,40
Person1,Female,30,36,88,64,39,56,49,32,42
Person1,Female,30,37,90,66,34,55,49,33,44
